"","X","pathID","pathway"
"1","4-AMINOBUTANOATE","map01100","Metabolic pathways"
"2","4-AMINOBUTANOATE","map01120","Microbial metabolism in diverse environments"
"3","4-AMINOBUTANOATE","map00650","Butanoate metabolism"
"4","4-AMINOBUTANOATE","map00250","Alanine, aspartate and glutamate metabolism"
"5","4-AMINOBUTANOATE","map00330","Arginine and proline metabolism"
"6","4-AMINOBUTANOATE","map00410","beta-Alanine metabolism"
"7","4-AMINOBUTANOATE","map00760","Nicotinate and nicotinamide metabolism"
"8","4-AMINOBUTANOATE","map04024","cAMP signaling pathway"
"9","4-AMINOBUTANOATE","map04080","Neuroactive ligand-receptor interaction"
"10","4-AMINOBUTANOATE","map02024","Quorum sensing"
"11","4-AMINOBUTANOATE","map04929","GnRH secretion"
"12","4-AMINOBUTANOATE","map04915","Estrogen signaling pathway"
"13","4-AMINOBUTANOATE","map04727","GABAergic synapse"
"14","4-AMINOBUTANOATE","map04723","Retrograde endocannabinoid signaling"
"15","4-AMINOBUTANOATE","map04721","Synaptic vesicle cycle"
"16","4-AMINOBUTANOATE","map04742","Taste transduction"
"17","4-AMINOBUTANOATE","map05032","Morphine addiction"
"18","4-AMINOBUTANOATE","map05033","Nicotine addiction"
"20","CREATININE","map01100","Metabolic pathways"
"21","CREATININE","map00330","Arginine and proline metabolism"
"22","PHOSPHORYLCHOLINE","map01100","Metabolic pathways"
"23","PHOSPHORYLCHOLINE","map00564","Glycerophospholipid metabolism"
"24","PHOSPHORYLCHOLINE","map00552","Teichoic acid biosynthesis"
"25","PHOSPHORYLCHOLINE","map05231","Choline metabolism in cancer"
"26","N-ACETYLPHENYLALANINE","map01100","Metabolic pathways"
"27","N-ACETYLPHENYLALANINE","map00360","Phenylalanine metabolism"
"28","L-CARNOSINE","map01100","Metabolic pathways"
"29","L-CARNOSINE","map00340","Histidine metabolism"
"30","L-CARNOSINE","map00410","beta-Alanine metabolism"
"32","N-Acetylaspartylglutamic acid","map01100","Metabolic pathways"
"33","N-Acetylaspartylglutamic acid","map00250","Alanine, aspartate and glutamate metabolism"
"34","N-Acetylaspartylglutamic acid","map04080","Neuroactive ligand-receptor interaction"
"35","EPIGALLOCATECHIN","map01100","Metabolic pathways"
"36","EPIGALLOCATECHIN","map01110","Biosynthesis of secondary metabolites"
"37","EPIGALLOCATECHIN","map00941","Flavonoid biosynthesis"
"38","EPIGALLOCATECHIN","map01061","Biosynthesis of phenylpropanoids"
"39","epsilon-Fructoselysine","map02060","Phosphotransferase system (PTS)"
"40","CHOLINE","map01100","Metabolic pathways"
"41","CHOLINE","map00564","Glycerophospholipid metabolism"
"42","CHOLINE","map00260","Glycine, serine and threonine metabolism"
"43","CHOLINE","map00552","Teichoic acid biosynthesis"
"44","CHOLINE","map02010","ABC transporters"
"45","CHOLINE","map04976","Bile secretion"
"46","CHOLINE","map04725","Cholinergic synapse"
"47","CHOLINE","map05231","Choline metabolism in cancer"
"48","5-AMINOVALERIC ACID","map01100","Metabolic pathways"
"49","5-AMINOVALERIC ACID","map01120","Microbial metabolism in diverse environments"
"50","5-AMINOVALERIC ACID","map00310","Lysine degradation"
"51","5-AMINOVALERIC ACID","map00330","Arginine and proline metabolism"
"52","5-AMINOVALERIC ACID","map00470","D-Amino acid metabolism"
"54","NIACINAMIDE","map01100","Metabolic pathways"
"55","NIACINAMIDE","map01240","Biosynthesis of cofactors"
"56","NIACINAMIDE","map00760","Nicotinate and nicotinamide metabolism"
"57","NIACINAMIDE","map04977","Vitamin digestion and absorption"
"58","NIACINAMIDE","map04212","Longevity regulating pathway - worm"
"59","ISONICOTINIC ACID","map00983","Drug metabolism - other enzymes"
"60","5-OXO-L-PROLINE","map01100","Metabolic pathways"
"61","5-OXO-L-PROLINE","map00480","Glutathione metabolism"
"63","PIPECOLIC ACID","map01100","Metabolic pathways"
"64","PIPECOLIC ACID","map01110","Biosynthesis of secondary metabolites"
"65","PIPECOLIC ACID","map01120","Microbial metabolism in diverse environments"
"66","PIPECOLIC ACID","map00310","Lysine degradation"
"67","PIPECOLIC ACID","map00960","Tropane, piperidine and pyridine alkaloid biosynthesis"
"68","PIPECOLIC ACID","map01060","Biosynthesis of plant secondary metabolites"
"69","PIPECOLIC ACID","map01064","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
"70","5,6-DIHYDROURACIL","map01100","Metabolic pathways"
"71","5,6-DIHYDROURACIL","map00240","Pyrimidine metabolism"
"72","5,6-DIHYDROURACIL","map00410","beta-Alanine metabolism"
"73","5,6-DIHYDROURACIL","map00770","Pantothenate and CoA biosynthesis"
"74","P-OCTOPAMINE","map04080","Neuroactive ligand-receptor interaction"
"75","4-GUANIDINOBUTANOIC ACID","map01100","Metabolic pathways"
"76","4-GUANIDINOBUTANOIC ACID","map00330","Arginine and proline metabolism"
"77","3-METHYLHISTIDINE","map01100","Metabolic pathways"
"78","3-METHYLHISTIDINE","map00340","Histidine metabolism"
"80","N-ACETYL-L-ASPARTIC ACID","map01100","Metabolic pathways"
"81","N-ACETYL-L-ASPARTIC ACID","map00250","Alanine, aspartate and glutamate metabolism"
"82","CITRULLINE","map01100","Metabolic pathways"
"83","CITRULLINE","map01110","Biosynthesis of secondary metabolites"
"84","CITRULLINE","map01230","Biosynthesis of amino acids"
"85","CITRULLINE","map00220","Arginine biosynthesis"
"87","N-EPSILON-ACETYLLYSINE","map01100","Metabolic pathways"
"88","N-EPSILON-ACETYLLYSINE","map00380","Tryptophan metabolism"
"89","N-EPSILON-ACETYLLYSINE","map01070","Biosynthesis of plant hormones"
"90","N-EPSILON-ACETYLLYSINE","map04075","Plant hormone signal transduction"
"92","N,N-ACETYLHISTIDINE","map04931","Insulin resistance"
"94","CYCLO(LEU-PRO)","map01100","Metabolic pathways"
"95","CYCLO(LEU-PRO)","map00340","Histidine metabolism"
"96","CYCLO(LEU-PRO)","map00410","beta-Alanine metabolism"
"97","ANSERINE","map00564","Glycerophospholipid metabolism"
"98","ANSERINE","map00565","Ether lipid metabolism"
"99","ANSERINE","map05231","Choline metabolism in cancer"
"100","SN-GLYCERO-3-PHOSPHOCHOLINE","map01100","Metabolic pathways"
"101","SN-GLYCERO-3-PHOSPHOCHOLINE","map01232","Nucleotide metabolism"
"102","SN-GLYCERO-3-PHOSPHOCHOLINE","map00230","Purine metabolism"
"103","SN-GLYCERO-3-PHOSPHOCHOLINE","map02010","ABC transporters"
"104","SN-GLYCERO-3-PHOSPHOCHOLINE","map04071","Sphingolipid signaling pathway"
"105","SN-GLYCERO-3-PHOSPHOCHOLINE","map04024","cAMP signaling pathway"
"106","SN-GLYCERO-3-PHOSPHOCHOLINE","map04022","cGMP-PKG signaling pathway"
"107","SN-GLYCERO-3-PHOSPHOCHOLINE","map04080","Neuroactive ligand-receptor interaction"
"108","SN-GLYCERO-3-PHOSPHOCHOLINE","map04923","Regulation of lipolysis in adipocytes"
"109","SN-GLYCERO-3-PHOSPHOCHOLINE","map04924","Renin secretion"
"110","SN-GLYCERO-3-PHOSPHOCHOLINE","map04270","Vascular smooth muscle contraction"
"111","SN-GLYCERO-3-PHOSPHOCHOLINE","map05012","Parkinson disease"
"112","SN-GLYCERO-3-PHOSPHOCHOLINE","map05032","Morphine addiction"
"113","SN-GLYCERO-3-PHOSPHOCHOLINE","map05034","Alcoholism"
"114","ADENOSINE","map01100","Metabolic pathways"
"115","ADENOSINE","map00600","Sphingolipid metabolism"
"116","ADENOSINE","map04071","Sphingolipid signaling pathway"
"117","ADENOSINE","map04210","Apoptosis"
"118","ADENOSINE","map04217","Necroptosis"
"119","SPHINGOSINE","map01100","Metabolic pathways"
"120","SPHINGOSINE","map01110","Biosynthesis of secondary metabolites"
"121","SPHINGOSINE","map01232","Nucleotide metabolism"
"122","SPHINGOSINE","map01240","Biosynthesis of cofactors"
"123","SPHINGOSINE","map00230","Purine metabolism"
"124","SPHINGOSINE","map00908","Zeatin biosynthesis"
"125","SPHINGOSINE","map01060","Biosynthesis of plant secondary metabolites"
"126","SPHINGOSINE","map01065","Biosynthesis of alkaloids derived from histidine and purine"
"127","SPHINGOSINE","map01070","Biosynthesis of plant hormones"
"128","SPHINGOSINE","map04068","FoxO signaling pathway"
"129","SPHINGOSINE","map04024","cAMP signaling pathway"
"130","SPHINGOSINE","map04022","cGMP-PKG signaling pathway"
"131","SPHINGOSINE","map04151","PI3K-Akt signaling pathway"
"132","SPHINGOSINE","map04152","AMPK signaling pathway"
"133","SPHINGOSINE","map04150","mTOR signaling pathway"
"134","SPHINGOSINE","map04923","Regulation of lipolysis in adipocytes"
"135","SPHINGOSINE","map04928","Parathyroid hormone synthesis, secretion and action"
"136","SPHINGOSINE","map04924","Renin secretion"
"137","SPHINGOSINE","map04925","Aldosterone synthesis and secretion"
"138","SPHINGOSINE","map04927","Cortisol synthesis and secretion"
"139","SPHINGOSINE","map04740","Olfactory transduction"
"140","SPHINGOSINE","map04742","Taste transduction"
"141","SPHINGOSINE","map04211","Longevity regulating pathway"
"142","SPHINGOSINE","map05012","Parkinson disease"
"143","SPHINGOSINE","map05022","Pathways of neurodegeneration - multiple diseases"
"144","SPHINGOSINE","map05032","Morphine addiction"
"145","SPHINGOSINE","map04934","Cushing syndrome"
"146","SPHINGOSINE","map01523","Antifolate resistance"
"147","ADENOSINE 5'-MONOPHOSPHATE","map01100","Metabolic pathways"
"148","ADENOSINE 5'-MONOPHOSPHATE","map00350","Tyrosine metabolism"
"149","ADENOSINE 5'-MONOPHOSPHATE","map04918","Thyroid hormone synthesis"
"150","3,5-DIIODO-L-TYROSINE","map01100","Metabolic pathways"
"151","3,5-DIIODO-L-TYROSINE","map00350","Tyrosine metabolism"
"152","3,5-DIIODO-L-TYROSINE","map04918","Thyroid hormone synthesis"
"153","1-STEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE","map00564","Glycerophospholipid metabolism"
"154","1-STEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE","map04148","Efferocytosis"
"155","1-STEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE","map05231","Choline metabolism in cancer"
"156","2'-Deoxyguanosine 5'-monophosphate","map01100","Metabolic pathways"
"157","2'-Deoxyguanosine 5'-monophosphate","map01232","Nucleotide metabolism"
"158","2'-Deoxyguanosine 5'-monophosphate","map00230","Purine metabolism"
"159","3-Hydroxypropanoic acid","map01100","Metabolic pathways"
"160","3-Hydroxypropanoic acid","map01120","Microbial metabolism in diverse environments"
"161","3-Hydroxypropanoic acid","map01200","Carbon metabolism"
"162","3-Hydroxypropanoic acid","map00640","Propanoate metabolism"
"163","3-Hydroxypropanoic acid","map00720","Other carbon fixation pathways"
"164","3-Hydroxypropanoic acid","map00240","Pyrimidine metabolism"
"165","3-Hydroxypropanoic acid","map00410","beta-Alanine metabolism"
"167","Cysteic Acid","map01100","Metabolic pathways"
"168","Cysteic Acid","map00270","Cysteine and methionine metabolism"
"169","Cysteic Acid","map00430","Taurine and hypotaurine metabolism"
"170","Cysteic Acid","map04080","Neuroactive ligand-receptor interaction"
"172","Glycolic acid","map00071","Fatty acid degradation"
"174","Inosine 5'-monophosphate","map01100","Metabolic pathways"
"175","Inosine 5'-monophosphate","map01110","Biosynthesis of secondary metabolites"
"176","Inosine 5'-monophosphate","map01232","Nucleotide metabolism"
"177","Inosine 5'-monophosphate","map01240","Biosynthesis of cofactors"
"178","Inosine 5'-monophosphate","map00230","Purine metabolism"
"179","Inosine 5'-monophosphate","map01060","Biosynthesis of plant secondary metabolites"
"180","Inosine 5'-monophosphate","map01065","Biosynthesis of alkaloids derived from histidine and purine"
"181","Inosine 5'-monophosphate","map01070","Biosynthesis of plant hormones"
"182","Inosine 5'-monophosphate","map04742","Taste transduction"
"183","Inosine 5'-monophosphate","map01523","Antifolate resistance"
"184","Isobutyric acid","map01100","Metabolic pathways"
"185","Isobutyric acid","map01120","Microbial metabolism in diverse environments"
"186","Isobutyric acid","map01220","Degradation of aromatic compounds"
"187","Isobutyric acid","map04974","Protein digestion and absorption"
"188","Myo-Inositol","map01100","Metabolic pathways"
"189","Myo-Inositol","map01110","Biosynthesis of secondary metabolites"
"190","Myo-Inositol","map01120","Microbial metabolism in diverse environments"
"191","Myo-Inositol","map01250","Biosynthesis of nucleotide sugars"
"192","Myo-Inositol","map00052","Galactose metabolism"
"193","Myo-Inositol","map00053","Ascorbate and aldarate metabolism"
"194","Myo-Inositol","map00562","Inositol phosphate metabolism"
"195","Myo-Inositol","map00521","Streptomycin biosynthesis"
"196","Myo-Inositol","map02010","ABC transporters"
"197","Myo-Inositol","map04070","Phosphatidylinositol signaling system"
"199","Propionic acid","map01100","Metabolic pathways"
"200","Propionic acid","map01120","Microbial metabolism in diverse environments"
"201","Propionic acid","map01220","Degradation of aromatic compounds"
"202","Propionic acid","map00640","Propanoate metabolism"
"203","Propionic acid","map00760","Nicotinate and nicotinamide metabolism"
"204","Propionic acid","map00642","Ethylbenzene degradation"
"205","Propionic acid","map04973","Carbohydrate digestion and absorption"
"206","Propionic acid","map04974","Protein digestion and absorption"
"207","Pyruvic acid","map01100","Metabolic pathways"
"208","Pyruvic acid","map01110","Biosynthesis of secondary metabolites"
"209","Pyruvic acid","map01120","Microbial metabolism in diverse environments"
"210","Pyruvic acid","map01200","Carbon metabolism"
"211","Pyruvic acid","map01210","2-Oxocarboxylic acid metabolism"
"212","Pyruvic acid","map01230","Biosynthesis of amino acids"
"213","Pyruvic acid","map01240","Biosynthesis of cofactors"
"214","Pyruvic acid","map01220","Degradation of aromatic compounds"
"215","Pyruvic acid","map00010","Glycolysis / Gluconeogenesis"
"216","Pyruvic acid","map00020","Citrate cycle (TCA cycle)"
"217","Pyruvic acid","map00030","Pentose phosphate pathway"
"218","Pyruvic acid","map00040","Pentose and glucuronate interconversions"
"219","Pyruvic acid","map00053","Ascorbate and aldarate metabolism"
"220","Pyruvic acid","map00620","Pyruvate metabolism"
"221","Pyruvic acid","map00630","Glyoxylate and dicarboxylate metabolism"
"222","Pyruvic acid","map00650","Butanoate metabolism"
"223","Pyruvic acid","map00660","C5-Branched dibasic acid metabolism"
"224","Pyruvic acid","map00710","Carbon fixation by Calvin cycle"
"225","Pyruvic acid","map00720","Other carbon fixation pathways"
"226","Pyruvic acid","map00680","Methane metabolism"
"227","Pyruvic acid","map00250","Alanine, aspartate and glutamate metabolism"
"228","Pyruvic acid","map00260","Glycine, serine and threonine metabolism"
"229","Pyruvic acid","map00270","Cysteine and methionine metabolism"
"230","Pyruvic acid","map00290","Valine, leucine and isoleucine biosynthesis"
"231","Pyruvic acid","map00330","Arginine and proline metabolism"
"232","Pyruvic acid","map00350","Tyrosine metabolism"
"233","Pyruvic acid","map00360","Phenylalanine metabolism"
"234","Pyruvic acid","map00430","Taurine and hypotaurine metabolism"
"235","Pyruvic acid","map00440","Phosphonate and phosphinate metabolism"
"236","Pyruvic acid","map00470","D-Amino acid metabolism"
"237","Pyruvic acid","map00730","Thiamine metabolism"
"238","Pyruvic acid","map00760","Nicotinate and nicotinamide metabolism"
"239","Pyruvic acid","map00770","Pantothenate and CoA biosynthesis"
"240","Pyruvic acid","map00785","Lipoic acid metabolism"
"241","Pyruvic acid","map00900","Terpenoid backbone biosynthesis"
"242","Pyruvic acid","map00261","Monobactam biosynthesis"
"243","Pyruvic acid","map00998","Biosynthesis of various antibiotics"
"244","Pyruvic acid","map00997","Biosynthesis of various other secondary metabolites"
"245","Pyruvic acid","map00362","Benzoate degradation"
"246","Pyruvic acid","map00622","Xylene degradation"
"247","Pyruvic acid","map00621","Dioxin degradation"
"248","Pyruvic acid","map01060","Biosynthesis of plant secondary metabolites"
"249","Pyruvic acid","map01061","Biosynthesis of phenylpropanoids"
"250","Pyruvic acid","map01062","Biosynthesis of terpenoids and steroids"
"251","Pyruvic acid","map01063","Biosynthesis of alkaloids derived from shikimate pathway"
"252","Pyruvic acid","map01064","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
"253","Pyruvic acid","map01065","Biosynthesis of alkaloids derived from histidine and purine"
"254","Pyruvic acid","map01066","Biosynthesis of alkaloids derived from terpenoid and polyketide"
"255","Pyruvic acid","map01070","Biosynthesis of plant hormones"
"256","Pyruvic acid","map02060","Phosphotransferase system (PTS)"
"257","Pyruvic acid","map04066","HIF-1 signaling pathway"
"258","Pyruvic acid","map04152","AMPK signaling pathway"
"259","Pyruvic acid","map04911","Insulin secretion"
"260","Pyruvic acid","map04922","Glucagon signaling pathway"
"261","Pyruvic acid","map05230","Central carbon metabolism in cancer"
"262","Pyruvic acid","map05415","Diabetic cardiomyopathy"
"263","Pyruvic acid","map04930","Type II diabetes mellitus"
"264","Pyruvic acid","map04931","Insulin resistance"
"265","Pyruvic acid","map01502","Vancomycin resistance"
"266","Carnitine","map01100","Metabolic pathways"
"267","Carnitine","map00310","Lysine degradation"
"268","Carnitine","map02010","ABC transporters"
"269","Acetyl carnitine","map04931","Insulin resistance"
"275","Hexadecanoyl carnitine","map01212","Fatty acid metabolism"
"276","Hexadecanoyl carnitine","map00071","Fatty acid degradation"
"281","Hexadecenoyl carnitine","map01212","Fatty acid metabolism"
"282","Hexadecenoyl carnitine","map00071","Fatty acid degradation"
"294","METHIONINE","map01100","Metabolic pathways"
"295","METHIONINE","map01110","Biosynthesis of secondary metabolites"
"296","METHIONINE","map01210","2-Oxocarboxylic acid metabolism"
"297","METHIONINE","map01230","Biosynthesis of amino acids"
"298","METHIONINE","map01240","Biosynthesis of cofactors"
"299","METHIONINE","map00270","Cysteine and methionine metabolism"
"300","METHIONINE","map00470","D-Amino acid metabolism"
"301","METHIONINE","map00966","Glucosinolate biosynthesis"
"302","METHIONINE","map00999","Biosynthesis of various plant secondary metabolites"
"303","METHIONINE","map01060","Biosynthesis of plant secondary metabolites"
"304","METHIONINE","map01070","Biosynthesis of plant hormones"
"305","METHIONINE","map00970","Aminoacyl-tRNA biosynthesis"
"306","METHIONINE","map04148","Efferocytosis"
"307","METHIONINE","map04974","Protein digestion and absorption"
"308","METHIONINE","map04980","Cobalamin transport and metabolism"
"309","METHIONINE","map04978","Mineral absorption"
"310","METHIONINE","map05230","Central carbon metabolism in cancer"
"311","METHIONINE","map01523","Antifolate resistance"
"312","ALANINE","map01100","Metabolic pathways"
"313","ALANINE","map01110","Biosynthesis of secondary metabolites"
"314","ALANINE","map01120","Microbial metabolism in diverse environments"
"315","ALANINE","map01200","Carbon metabolism"
"316","ALANINE","map01210","2-Oxocarboxylic acid metabolism"
"317","ALANINE","map01230","Biosynthesis of amino acids"
"318","ALANINE","map00710","Carbon fixation by Calvin cycle"
"319","ALANINE","map00250","Alanine, aspartate and glutamate metabolism"
"320","ALANINE","map00270","Cysteine and methionine metabolism"
"321","ALANINE","map00430","Taurine and hypotaurine metabolism"
"322","ALANINE","map00450","Selenocompound metabolism"
"323","ALANINE","map00470","D-Amino acid metabolism"
"324","ALANINE","map00997","Biosynthesis of various other secondary metabolites"
"325","ALANINE","map01060","Biosynthesis of plant secondary metabolites"
"326","ALANINE","map00970","Aminoacyl-tRNA biosynthesis"
"327","ALANINE","map04122","Sulfur relay system"
"328","ALANINE","map02010","ABC transporters"
"329","ALANINE","map04974","Protein digestion and absorption"
"330","ALANINE","map04978","Mineral absorption"
"331","ALANINE","map05230","Central carbon metabolism in cancer"
"332","ALANINE","map01502","Vancomycin resistance"
"333","ARGININE","map01100","Metabolic pathways"
"334","ARGININE","map01110","Biosynthesis of secondary metabolites"
"335","ARGININE","map01230","Biosynthesis of amino acids"
"336","ARGININE","map00220","Arginine biosynthesis"
"337","ARGININE","map00330","Arginine and proline metabolism"
"338","ARGININE","map00470","D-Amino acid metabolism"
"339","ARGININE","map00261","Monobactam biosynthesis"
"340","ARGININE","map00331","Clavulanic acid biosynthesis"
"341","ARGININE","map00998","Biosynthesis of various antibiotics"
"342","ARGININE","map01060","Biosynthesis of plant secondary metabolites"
"343","ARGININE","map01064","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
"344","ARGININE","map00970","Aminoacyl-tRNA biosynthesis"
"345","ARGININE","map02010","ABC transporters"
"346","ARGININE","map04150","mTOR signaling pathway"
"347","ARGININE","map04148","Efferocytosis"
"348","ARGININE","map04974","Protein digestion and absorption"
"349","ARGININE","map05230","Central carbon metabolism in cancer"
"350","ARGININE","map05146","Amoebiasis"
"351","ARGININE","map05142","Chagas disease"
"352","ARGININE","map05014","Amyotrophic lateral sclerosis"
"353","ARGININE","map05022","Pathways of neurodegeneration - multiple diseases"
"354","ASPARAGINE","map01100","Metabolic pathways"
"355","ASPARAGINE","map01110","Biosynthesis of secondary metabolites"
"356","ASPARAGINE","map01230","Biosynthesis of amino acids"
"357","ASPARAGINE","map00250","Alanine, aspartate and glutamate metabolism"
"358","ASPARAGINE","map00460","Cyanoamino acid metabolism"
"359","ASPARAGINE","map01060","Biosynthesis of plant secondary metabolites"
"360","ASPARAGINE","map00970","Aminoacyl-tRNA biosynthesis"
"361","ASPARAGINE","map04974","Protein digestion and absorption"
"362","ASPARAGINE","map04978","Mineral absorption"
"363","ASPARAGINE","map05230","Central carbon metabolism in cancer"
"364","GLUTAMIC ACID","map01100","Metabolic pathways"
"365","GLUTAMIC ACID","map01110","Biosynthesis of secondary metabolites"
"366","GLUTAMIC ACID","map01120","Microbial metabolism in diverse environments"
"367","GLUTAMIC ACID","map01200","Carbon metabolism"
"368","GLUTAMIC ACID","map01210","2-Oxocarboxylic acid metabolism"
"369","GLUTAMIC ACID","map01230","Biosynthesis of amino acids"
"370","GLUTAMIC ACID","map01240","Biosynthesis of cofactors"
"371","GLUTAMIC ACID","map00630","Glyoxylate and dicarboxylate metabolism"
"372","GLUTAMIC ACID","map00650","Butanoate metabolism"
"373","GLUTAMIC ACID","map00660","C5-Branched dibasic acid metabolism"
"374","GLUTAMIC ACID","map00910","Nitrogen metabolism"
"375","GLUTAMIC ACID","map00250","Alanine, aspartate and glutamate metabolism"
"376","GLUTAMIC ACID","map00220","Arginine biosynthesis"
"377","GLUTAMIC ACID","map00330","Arginine and proline metabolism"
"378","GLUTAMIC ACID","map00340","Histidine metabolism"
"379","GLUTAMIC ACID","map00430","Taurine and hypotaurine metabolism"
"380","GLUTAMIC ACID","map00470","D-Amino acid metabolism"
"381","GLUTAMIC ACID","map00480","Glutathione metabolism"
"382","GLUTAMIC ACID","map00860","Porphyrin metabolism"
"383","GLUTAMIC ACID","map00332","Carbapenem biosynthesis"
"384","GLUTAMIC ACID","map00524","Neomycin, kanamycin and gentamicin biosynthesis"
"385","GLUTAMIC ACID","map00998","Biosynthesis of various antibiotics"
"386","GLUTAMIC ACID","map00997","Biosynthesis of various other secondary metabolites"
"387","GLUTAMIC ACID","map01060","Biosynthesis of plant secondary metabolites"
"388","GLUTAMIC ACID","map01064","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
"389","GLUTAMIC ACID","map00970","Aminoacyl-tRNA biosynthesis"
"390","GLUTAMIC ACID","map02010","ABC transporters"
"391","GLUTAMIC ACID","map02020","Two-component system"
"392","GLUTAMIC ACID","map04068","FoxO signaling pathway"
